ENTITY_CD,ENTITY_NAME,YEAR,NUM_FREE_LUNCH,PER_FREE_LUNCH,NUM_REDUCED_LUNCH,PER_REDUCED_LUNCH
021601040004,FRIENDSHIP CENTRAL SCHOOL,2018,175,58,26,9
022001040000,FILLMORE CENTRAL SCHOOL DISTRICT,2018,294,47,44,7
022001040001,FILLMORE CENTRAL SCHOOL,2018,294,47,44,7
022101040000,WHITESVILLE CENTRAL SCHOOL DISTRICT,2018,69,35,39,20
022101040001,WHITESVILLE CENTRAL SCHOOL,2018,69,35,39,20
022302040000,CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT,2018,367,45,63,8
022302040001,CUBA-RUSHFORD HIGH SCHOOL,2018,108,39,17,6
022302040002,CUBA-RUSHFORD ELEMENTARY SCHOOL,2018,171,46,34,9
022302040004,CUBA-RUSHFORD MIDDLE SCHOOL,2018,88,50,12,7
022401040000,SCIO CENTRAL SCHOOL DISTRICT,2018,173,52,41,12
022401040003,SCIO CENTRAL SCHOOL,2018,173,52,41,12
022601060000,WELLSVILLE CENTRAL SCHOOL DISTRICT,2018,548,47,80,7
022601060004,WELLSVILLE SENIOR HIGH SCHOOL,2018,284,42,55,8
022601060005,WELLSVILLE ELEMENTARY SCHOOL,2018,264,53,25,5
022902040000,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,2018,377,53,0,0
022902040001,BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL,2018,204,51,0,0
022902040002,BOLIVAR-RICHBURG ELEMENTARY SCHOOL,2018,173,54,0,0
022902040003,BOLIVAR-RICHBURG PRE-K PROGRAM,2018,0,0,0,0
030101060000,CHENANGO FORKS CENTRAL SCHOOL DISTRICT,2018,531,36,83,6
030101060001,CHENANGO FORKS ELEMENTARY SCHOOL,2018,245,40,39,6
030101060003,CHENANGO FORKS HIGH SCHOOL,2018,163,33,25,5
030101060004,CHENANGO FORKS MIDDLE SCHOOL,2018,123,35,19,5
030200010000,BINGHAMTON CITY SCHOOL DISTRICT,2018,3870,75,95,2
030200010002,CALVIN COOLIDGE SCHOOL,2018,257,80,7,2
030200010005,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,2018,365,87,9,2
030200010008,THOMAS JEFFERSON SCHOOL,2018,180,59,8,3
030200010011,MACARTHUR SCHOOL,2018,314,68,6,1
030200010012,THEODORE ROOSEVELT SCHOOL,2018,315,84,6,2
030200010014,WOODROW WILSON SCHOOL,2018,333,85,10,3
030200010015,EAST MIDDLE SCHOOL,2018,459,83,14,3
030200010016,WEST MIDDLE SCHOOL,2018,426,70,9,1
030200010021,BINGHAMTON HIGH SCHOOL,2018,1024,70,25,2
030200010022,HORACE MANN SCHOOL,2018,197,79,1,0
030501040000,HARPURSVILLE CENTRAL SCHOOL DISTRICT,2018,418,59,48,7
030501040001,W A OLMSTED ELEMENTARY SCHOOL,2018,205,60,25,7
030501040003,HARPURSVILLE JUNIOR-SENIOR HIGH SCHOOL,2018,213,57,23,6
030601060000,SUSQUEHANNA VALLEY CENTRAL SCHOOL DISTRICT,2018,559,39,112,8
030601060001,BROOKSIDE ELEMENTARY SCHOOL,2018,162,44,26,7
030601060004,F P DONNELLY SCHOOL,2018,123,45,22,8
030601060005,RICHARD T STANK MIDDLE SCHOOL,2018,119,40,23,8
030601060006,SUSQUEHANNA VALLEY SENIOR HIGH SCHOOL,2018,155,33,41,9
030701060000,CHENANGO VALLEY CENTRAL SCHOOL DISTRICT,2018,577,36,108,7
030701060001,CHENANGO VALLEY HIGH SCHOOL,2018,155,31,33,7
030701060003,CHENANGO BRIDGE ELEMENTARY SCHOOL,2018,150,38,26,7
030701060004,PORT DICKINSON ELEMENTARY SCHOOL,2018,147,38,25,7
030701060005,CHENANGO VALLEY MIDDLE SCHOOL,2018,125,36,24,7
031101060000,MAINE-ENDWELL CENTRAL SCHOOL DISTRICT,2018,884,36,91,4
031101060003,HOMER BRINK SCHOOL,2018,259,35,21,3
031101060004,MAINE MEMORIAL SCHOOL,2018,200,49,20,5
031101060005,MAINE-ENDWELL MIDDLE SCHOOL,2018,205,37,22,4
031101060006,MAINE-ENDWELL SENIOR HIGH SCHOOL,2018,220,30,28,4
031301040000,DEPOSIT CENTRAL SCHOOL DISTRICT,2018,267,54,35,7
031301040002,DEPOSIT ELEMENTARY SCHOOL,2018,124,56,15,7
031301040003,DEPOSIT MIDDLE-SENIOR HIGH SCHOOL,2018,143,53,20,7
031401060000,WHITNEY POINT CENTRAL SCHOOL DISTRICT,2018,687,51,97,7
031401060002,TIOUGHNIOGA RIVERSIDE ACADEMY,2018,273,53,43,8
031401060004,WHITNEY POINT SENIOR HIGH SCHOOL,2018,195,46,33,8
031401060005,CARYL E ADAMS PRIMARY SCHOOL,2018,219,52,21,5
031501060000,UNION-ENDICOTT CENTRAL SCHOOL DISTRICT,2018,1802,50,98,3
